        Industries                  specialization  Anual Salary
               ipr                             N/A       1000000
                it                             N/A        753980
        janitorial                             N/A         29120
        journalism                             N/A        160600
               lab                             N/A         83200
             labor                             N/A        617174
        laboratory                             N/A         48000
            labour                             N/A         62000
            landed                             N/A         39000
         landscape                             N/A        129840
       landscaping                             N/A        106240
          language                             N/A        157000
             large                             N/A         92000
           laundry                             N/A         62000
               law                             N/A     175472500
          learning                             N/A        130000
             legal                             N/A        117000
          leisure,                             N/A       6436033
         librarian                             N/A        488285
         libraries                             N/A       3940014
           library                             N/A       4092228
              life                             N/A        792246
        literature                             N/A         54000
          lobbying                             N/A        155000
         logistics                             N/A         72775
               low                             N/A         45000
            luxury                             N/A         68000
       maintenance                             N/A         87000
        management                             N/A        360000
     manufacturing                             N/A       4274582
    manufacturing,                             N/A         67000
          maritime                             N/A         67580
            market                             N/A        887500
         marketing                             N/A        129500
        marketing,                             N/A     115658087
          medcomms                             N/A         36000
             media                             N/A     107840470
            medica                             N/A         90898
           medical                             N/A       2298705
            mental                             N/A        197690
          military                             N/A        346000
            mining                             N/A       1190908
          ministry                             N/A        133750
          mortgage                             N/A        149000
      multilateral                             N/A        250000
         municipal                             N/A        183953
            museum                             N/A        792717
           museums                             N/A        537084
          museums:                             N/A         42000
             music                             N/A        179000
            music,                             N/A        100000
            music:                             N/A         50000
                my                             N/A         35000
          national                             N/A        115000
           natural                             N/A        106997
               non                             N/A        275200
         nonprofit                             N/A        292000
        nonprofits                             N/A     175192472
               not                             N/A        273700
           nuclear                             N/A        122000
        obligatory                             N/A          2975
      oceanography                             N/A         45000
            office                             N/A         77400
               oil                             N/A       3655195
          oilfield                             N/A         52234
            online                             N/A        157800
       operational                             N/A         45000
        operations                             N/A        110000
    organizational                             N/A         99100
         organized                             N/A        209496
           outdoor                             N/A         37000
        outsourced                             N/A          2400
       outsourcing                             N/A         90000
              paid                             N/A         40000
           parking                             N/A         63000
             parks                             N/A         27460
            patent                             N/A         52500
           payment                             N/A         73185
           payroll                             N/A         51001
           pension                             N/A         72000
               per                             N/A         43800
        performing                             N/A         41500
              pest                             N/A         75000
               pet                             N/A        203460
         petroleum                             N/A        220000
            pharma                             N/A       3757960
    pharmaceitical                             N/A         96304
    pharmaceutical                             N/A       6186169
   pharmaceuticals                             N/A       3774470
    pharmacuticals                             N/A        160000
               phd                             N/A         53000
      philanthropy                             N/A       1040200
          physical                             N/A        103000
          planning                             N/A         72000
          plumbing                             N/A         60000
            policy                             N/A         82000
         political                             N/A        546000
          politics                             N/A        959500
               pre                             N/A         60000
       preclinical                             N/A         82000
             print                             N/A        218000
          printing                             N/A        101360
           private                             N/A        446000
        probiotics                             N/A         22000
       procurement                             N/A        274500
           product                             N/A        249125
        production                             N/A         65000
      professional                             N/A        704785
           program                             N/A         83000
           project                             N/A        137625
          property                             N/A      27780860
        protective                             N/A         56000
      psychologist                             N/A         60000
        psychology                             N/A        120000
            public                             N/A       6411668
      publications                             N/A         81000
        publishibg                             N/A         34770
        publishing                             N/A       4061297
       publishing,                             N/A         57500
       publishing:                             N/A         81500
        purchasing                             N/A        141200
           quality                             N/A        103200
               r&d                             N/A        220000
              real                             N/A       3282906
       recruitment                             N/A      41893901
        regulatory                             N/A        145980
          religion                             N/A        212000
         religious                             N/A        282180
         renewable                             N/A        916327
            repair                             N/A         65000
          research                             N/A       5130384
        restaurant                             N/A        483760
       restaurants                             N/A        118000
       restoration                             N/A        184000
            retail                             N/A      49014382
           retired                             N/A         13000
         rideshare                             N/A         48000
             rural                             N/A         60000
              saas                             N/A        330000
           sailing                             N/A         41600
             sales                             N/A      29503107
            school                             N/A         40200
           science                             N/A       2587353
          sciences                             N/A         35500
        scientific                             N/A       2015805
         scientist                             N/A       1304500
          security                             N/A        171000
           service                             N/A        121000
            shared                             N/A         48000
              sign                             N/A        124800
           skilled                             N/A         80000
             small                             N/A         41000
            social                             N/A      18220734
              soft                             N/A         48000
          software                             N/A       1471700
           soldier                             N/A         90000
          sourcing                             N/A        105000
             space                             N/A         75000
           special                             N/A         45000
        specialist                             N/A         97000
            sports                             N/A        300000
          staffing                             N/A        307300
             state                             N/A        236000
              stay                             N/A             0
              stem                             N/A        213000
           storage                             N/A        120000
          strategy                             N/A        345000
           student                             N/A        143720
        subsidized                             N/A         45000
            summer                             N/A         52000
            supply                             N/A        670692
            survey                             N/A        147000
         surveying                             N/A        131280
         synthetic                             N/A        103000
          tabletop                             N/A         86850
         tailoring                             N/A         35360
              tech                             N/A        378000
         technical                             N/A        379000
        technology                             N/A        546500
telecommunications                             N/A        242394
          textbook                             N/A         56160
           theatre                             N/A         20000
             think                             N/A        146280
             third                             N/A         41206
               tic                             N/A         34000
             title                             N/A         62500
           tourism                             N/A        103975
        toxicology                             N/A         57000
             trade                             N/A        947100
            trades                             N/A         91160
          training                             N/A        421400
       translation                             N/A       2220272
         transport                             N/A      23564323
            travel                             N/A        240000
         undergrad                             N/A         10000
             union                             N/A        103586
            unions                             N/A         80000
        university                             N/A        158217
             urban                             N/A        271384
              user                             N/A        274000
         utilities                             N/A     138135702
                ux                             N/A         82000
               vet                             N/A         70000
      veterinarian                             N/A         78000
        veterinary                             N/A       1662733
             video                             N/A       3844640
           virtual                             N/A         96600
         warehouse                             N/A        184940
       warehousing                             N/A         65500
             waste                             N/A        177000
            wealth                             N/A         50000
          wherever                             N/A         72800
         wholesale                             N/A        757653
              wine                             N/A        295000
            winery                             N/A         61500
              work                             N/A         16000
         workforce                             N/A         52000
           writing                             N/A         56000
               zoo                             N/A        174000
              zoos                             N/A         37419
